"rep","method","rG","r12","r13","r23","rI1","rI2","rI3","eG","e12","e13","e23","eI1","eI2","eI3","time","error"
71,"PPD",4,1,1,3,0,1,4,0.107490188178641,0.0301969293492287,0.079138602011928,0.196263414831448,1,0.802178081703423,0.0506164582559144,602.71,NA
71,"BIDIFAC+",4,1,4,7,1,1,12,0.222408068982936,0.0388383970136067,0.533662385953876,0.110453664301525,0.382281227710639,0.998544852334406,0.171434767284191,1517.345,NA
72,"PPD",4,1,1,2,0,2,5,0.210488879132787,0.411968075060451,0.125345988829834,0.0796745735952132,1,0.438303966641676,0.0254389170712627,659.110000000001,NA
72,"BIDIFAC+",5,1,4,8,2,1,12,0.205067937079267,0.0404636378001715,0.478309459217444,0.102651840373495,0.399138172137656,0.998951154961719,0.174156567587274,2570.261,NA
73,"PPD",4,1,1,3,0,1,4,0.0661786487822762,0.0153877952421918,0.089722152854644,0.158839433074387,1,0.81483521373817,0.0509261091700773,608.547,NA
73,"BIDIFAC+",4,1,4,7,1,1,12,0.225470035567285,0.0372011154760723,0.577061481599418,0.110236668729745,0.379276829964395,0.999689786525944,0.168468252306276,1440.023,NA
74,"PPD",4,1,1,3,0,1,4,0.395958158493545,0.995253753962493,0.844610543262933,0.182370267248636,1,0.890299902505239,0.133573539522196,601.647,NA
74,"BIDIFAC+",4,1,4,8,1,1,12,0.212480090457804,0.0369622263487108,0.499062875108149,0.105785669542295,0.386774632938618,0.99998416677269,0.176582573653758,1502.275,NA
75,"PPD",4,1,1,4,0,0,3,0.0783340582211257,0.0161924323260058,0.072628302537372,0.269609514679974,1,1,0.0667245075767957,598.775,NA
75,"BIDIFAC+",4,2,5,8,2,1,12,0.218416327188928,0.0388187386420253,0.529532297569493,0.110161912445282,0.365907380715895,0.997662616580584,0.175435789773661,1542.847,NA
76,"PPD",4,1,1,3,0,1,4,0.219545929460548,0.465747932214723,0.106156510732759,0.194556025986454,1,0.822534635325949,0.0522393947767945,1116.548,NA
76,"BIDIFAC+",4,2,5,8,2,1,12,0.215598934599968,0.0370814499342587,0.514843753058279,0.107029591970995,0.355922775890655,0.997543878835592,0.17877111643583,2804.124,NA
77,"PPD",4,1,1,3,0,1,4,0.3565074700261,0.940873743125349,0.0928687055362265,0.300518022101052,1,1.0799618449338,0.0604821902838313,816.607999999999,NA
77,"BIDIFAC+",4,1,5,7,1,1,12,0.230532587431832,0.0363888551745653,0.591445524984781,0.112607971929765,0.371987763408415,0.998427106312805,0.173506523698745,2886.648,NA
78,"PPD",4,1,1,3,0,1,4,0.153763290727741,0.228306383656277,0.0947192267901238,0.16082179488042,1,0.868956153658585,0.0588102945530718,614.167,NA
78,"BIDIFAC+",4,1,4,7,2,1,12,0.233306526280747,0.0404381511509152,0.580637262199188,0.116171359238267,0.369723138186413,0.997492193630212,0.172868635198994,1502.275,NA
79,"PPD",4,1,1,3,0,1,4,0.398521301135683,0.988040588886135,0.74903256368999,0.16904043462322,1,0.828042511609082,0.121804303633934,598.877,NA
79,"BIDIFAC+",4,1,5,7,1,1,12,0.221715835131576,0.0346737588161375,0.563120406611218,0.105697349055423,0.401414190087702,0.997895655804245,0.176145006500554,1504.95,NA
80,"PPD",4,1,1,3,0,1,4,0.367499189520564,0.897792637199023,0.135243993855957,0.199412378716196,1,0.813307699942494,0.0512037107065698,599.477,NA
80,"BIDIFAC+",4,2,4,7,2,1,12,0.220404239939084,0.0377268266649098,0.523066624642325,0.107613963447375,0.360546695250478,0.999964857290223,0.172440406689831,1465.362,NA
