"rep","d","ang","ang_deg","method","rJ","rI1","rI2","eJ1","eJ2","eI1","eI2","time","error"
86,0.25,0,0,"PPD",4,2,5,0.753228842947447,0.319608028174121,0.923797091187989,0.216268247713302,116.471,NA
87,0.25,0,0,"PPD",4,2,5,0.758544299783466,0.32673461855433,0.941225110322241,0.221398626570865,113.043,NA
88,0.25,0,0,"PPD",4,2,5,0.73082137807051,0.324194182474093,0.951747633882413,0.213401856157012,204.65,NA
89,0.25,0,0,"PPD",4,2,5,0.759812047801137,0.327154731019174,0.947163085952132,0.202036958863276,143.285,NA
90,0.25,0,0,"PPD",4,2,5,0.723143133456604,0.314583572540473,0.938775444081542,0.20535775571235,202.953,NA
91,0.25,0,0,"PPD",4,2,5,0.748835059444352,0.319205023334645,0.937000608835332,0.213224436020619,162.69,NA
92,0.25,0,0,"PPD",4,2,5,0.740652316136315,0.314896066916564,0.941347552773272,0.218219701831221,114.333,NA
93,0.25,0,0,"PPD",4,2,5,0.757795306512063,0.324949131919372,0.935451606582885,0.224961858285956,177.612,NA
94,0.25,0,0,"PPD",4,2,5,0.724705694500445,0.31799398110572,0.945786858737862,0.209564586226829,111.535,NA
95,0.25,0,0,"PPD",4,2,5,0.752756613822809,0.321069397854666,0.942781589012031,0.224786188206356,179.852,NA
96,0.25,0,0,"PPD",4,2,5,0.720869010270346,0.322370515173964,0.9352629510449,0.219997488622952,112.713,NA
97,0.25,0,0,"PPD",4,2,5,0.748182064805296,0.316643335869729,0.937085425577125,0.220457619831718,202.741,NA
98,0.25,0,0,"PPD",4,2,5,0.728422091762015,0.328581808135415,0.934713661940889,0.21465399209225,109.865,NA
99,0.25,0,0,"PPD",4,2,5,0.752693064273511,0.32711816395656,0.937559086871738,0.224779427618691,201.156,NA
100,0.25,0,0,"PPD",4,2,5,0.747261291338995,0.329298710137334,0.936640111912121,0.217698162838167,111.508,NA
1,0.5,0,0,"PPD",5,1,4,0.778136525057496,0.286190492585815,0.949756548822261,0.116822060021544,127.244,NA
2,0.5,0,0,"PPD",5,1,4,0.788484549587519,0.277343994326996,0.95108802256815,0.116097158723253,204.194,NA
3,0.5,0,0,"PPD",5,1,4,0.779654499600366,0.271270971395672,0.949161440503795,0.115117249047707,110.664,NA
4,0.5,0,0,"PPD",6,6,3,0.843460644751574,0.331848513857168,1.04778201485066,0.122743803774157,111.408,NA
5,0.5,0,0,"PPD",5,1,4,0.789479714242404,0.273160721628967,0.949509837899727,0.116955205020789,115.118,NA
